None,None
"-- Please Select --","-- Please Select --"
"You added %1 to your shopping cart.","You added %1 to your shopping cart."
"Please insert product(s).","Please insert product(s)."
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping cart right now."
"The file's format is not correct. Please download sample csv file and try again.","The file's format is not correct. Please download sample csv file and try again."
"CSV import is only available for simple product(s) without custom option(s). %1 %2 not supported.","CSV import is only available for simple product(s) without custom option(s). %1 %2 not supported."
"%1 do not match or do not exist on the site.","%1 do not match or do not exist on the site."
"Import Complete.","Import Complete."
"No Item Imported.","No Item Imported."
"We can't import item to your table right now.","We can't import item to your table right now."
sample,sample
"Select all","Select all"
"Unselect all","Unselect all"
"Please select one of the options.","Please select one of the options."
"* Required Fields","* Required Fields"
Search,Search
Photo,Photo
Product,Product
Qty,Qty
Subtotal,Subtotal
Edit,Edit
Action,Action
"Enter product name or SKU","Enter product name or SKU"
OK,OK
"Subtotal Price","Subtotal Price"
Reset,Reset
Upload,Upload
"Download Sample Csv","Download Sample Csv"
"Add lines","Add lines"
"Add to cart","Add to cart"
"No Result","No Result"
SKU,SKU
"Excl. Tax: ","Excl. Tax: "
"Grouped product items","Grouped product items"
"Product Name","Product Name"
Availability,Availability
"Out of stock","Out of stock"
"No options of this product are available.","No options of this product are available."
"Please specify the quantity of product(s).","Please specify the quantity of product(s)."
Cancel,Cancel
Select,Select
"Maximum number of characters:","Maximum number of characters:"
Pre-Order,Pre-Order
"Fast Order","Fast Order"
General,General
Enabled,Enabled
"Number of lines&nbsp;<span style=""color: #D40707;"">*</span>","Number of lines&nbsp;<span style=""color: #D40707;"">*</span>"
"Default lines shown.","Default lines shown."
"Enable search by SKU","Enable search by SKU"
"The autocomplete feature will search by NAME for default.","The autocomplete feature will search by NAME for default."
"Autocomplete minimum characters","Autocomplete minimum characters"
"Minimum number of characters before displaying the automplete results.","Minimum number of characters before displaying the automplete results."
"Max results to show","Max results to show"
"Number of results in the autocomplete box.","Number of results in the autocomplete box."
"Head Background Color","Head Background Color"
"Head Text Color","Head Text Color"
"Enabled Shortcut Top Link","Enabled Shortcut Top Link"
"Shortcut Url Key","Shortcut Url Key"
"Shortcut url key for fast order","Shortcut url key for fast order"
"Enable for customer groups","Enable for customer groups"
